Product ID,Name,Category,Price,Brand,Description,Rating,Stock Quantity,Size,Color,Warranty
1147,Adidas Originals Hoodie,Fashion,60,Adidas,Cozy hoodie with logo print,4.5,200,L,Gray,1 year
1012,Adidas Sneakers,Fashion,100,Adidas,Comfortable sneakers for everyday wear,4.4,60,10 US,Gray,N/A
1113,Adidas Ultraboost 22,Fashion,180,Adidas,Comfortable running shoes,4.8,100,10 US,Black,1 year
1033,Air Fryer,Home & Kitchen,150,Philips,Oil-free cooking with rapid air technology,4.6,60,N/A,Black,1 year
1183,Alienware Aurora Ryzen Edition,Gaming,2199.99,Alienware,Gaming desktop with AMD Ryzen 9,4.8,20,N/A,Black,1 year
1005,Aloe Vera Gel,Beauty,12.99,Nature's Way,Hydrating aloe vera gel,4.6,100,250 ml,Green,N/A
1109,Amazon Echo Dot,Electronics,49.99,Amazon,Smart speaker with Alexa,4.4,500,N/A,Charcoal,1 year
1136,Amazon Kindle Paperwhite,Books,129.99,Amazon,Waterproof e-reader with 8GB storage,4.6,100,N/A,Black,1 year
1189,Anker PowerCore 10000,Accessories,25.99,Anker,Compact portable charger with 10000mAh capacity,4.7,200,N/A,Black,1 year
1127,Apple AirPods Pro 2,Electronics,249.99,Apple,Active noise-canceling earbuds,4.7,200,N/A,White,1 year
1145,Apple iPad 9th Gen,Electronics,329.99,Apple,10.2-inch tablet with A13 Bionic chip,4.7,150,N/A,Space Gray,1 year
1193,Apple iPhone 12,Mobile Phones,799.99,Apple,Smartphone with 5G support,4.6,300,N/A,Blue,1 year
1162,Apple Mac Mini,Electronics,699.99,Apple,Compact desktop with M1 chip,4.8,50,N/A,Space Gray,1 year
1181,Apple Magic Keyboard,Accessories,99.99,Apple,Wireless keyboard for Mac,4.7,100,N/A,White,1 year
1175,Apple Pencil 2nd Gen,Electronics,129.99,Apple,Stylus for iPad Pro,4.7,200,N/A,White,1 year
1035,Apple Watch,Electronics,399,Apple,Smartwatch with health features,4.8,75,N/A,Gold,1 year
1118,Apple Watch Series 7,Electronics,399.99,Apple,Smartwatch with health and fitness tracking,4.8,200,N/A,Green,1 year
1160,Asics Gel Nimbus 23,Fashion,160,Asics,Comfortable running shoes for long distances,4.7,90,10 US,Blue,1 year
1134,ASICS Gel-Kayano 28,Fashion,160,ASICS,Supportive running shoes,4.7,120,10 US,White,1 year
1051,Asus ROG Laptop,Electronics,1999.99,Asus,High-performance gaming laptop,4.8,35,N/A,Black,2 years
1119,Asus ROG Strix,Electronics,1599.99,Asus,High-performance gaming laptop,4.6,25,N/A,Black,1 year
1197,ASUS TUF Gaming Laptop,Electronics,1399.99,Asus,Gaming laptop with NVIDIA GTX 1660 Ti,4.6,30,N/A,Black,1 year
1180,Asus TUF Gaming Monitor,Electronics,249.99,Asus,27-inch Full HD gaming monitor with 165Hz refresh rate,4.7,75,N/A,Black,1 year
1021,Barbecue Grill,Home & Kitchen,250,Char-Broil,Outdoor barbecue grill,4.3,20,N/A,Black,2 years
1040,Bathrobe,Home & Kitchen,40,AmazonBasics,Soft and comfortable bathrobe,4.3,150,S,White,N/A
1124,Beats by Dre Studio3,Electronics,349.95,Beats,Wireless headphones with active noise cancellation,4.6,50,N/A,Matte Black,1 year
1155,Beats Fit Pro,Electronics,199.99,Beats,True wireless noise-canceling earbuds,4.7,150,N/A,Black,1 year
1161,Beats Solo Pro,Electronics,299.99,Beats,Over-ear noise-canceling headphones,4.6,80,N/A,Black,1 year
1182,Beats Studio Buds,Electronics,149.99,Beats,True wireless earbuds with noise cancellation,4.5,200,N/A,Red,1 year
1009,Blender,Home & Kitchen,120,Ninja,High-speed blender for smoothies,4.3,50,N/A,Silver,1 year
1014,Body Lotion,Beauty,15.99,Vaseline,Moisturizing body lotion,4.8,150,500 ml,Blue,N/A
1123,Bose QuietComfort 35 II,Electronics,299.99,Bose,Wireless noise-canceling headphones,4.8,100,N/A,Black,1 year
1169,Bose QuietComfort 45,Electronics,329.99,Bose,Wireless noise-canceling headphones,4.8,50,N/A,Black,1 year
1020,Bose Sound System,Electronics,499,Bose,High-quality sound system for home theaters,4.8,25,N/A,Black,1 year
1150,Bose SoundLink Revolve+,Audio,299.99,Bose,Portable Bluetooth speaker with 360Â° sound,4.8,50,N/A,Silver,1 year
1179,Bose SoundTouch 300,Audio,699.99,Bose,Soundbar with home theater audio,4.6,30,N/A,Black,1 year
1075,Camping Chair,Home & Kitchen,30,REI,Portable camping chair with cup holder,4.4,80,N/A,Green,1 year
1058,Camping Tent,Home & Kitchen,200,Big Agnes,Spacious 4-person camping tent,4.7,40,N/A,Green,1 year
1029,Canon DSLR Camera,Electronics,899,Canon,High-quality DSLR camera for photography,4.8,15,N/A,Black,2 years
1106,Canon EOS 5D Mark IV,Electronics,2499.99,Canon,Full-frame DSLR camera with 4K video,4.8,15,N/A,Black,1 year
1148,Canon EOS Rebel T7,Electronics,449.99,Canon,Entry-level DSLR camera with 24.1 MP,4.7,100,N/A,Black,1 year
1171,Canon RF 50mm F1.8 Lens,Electronics,199.99,Canon,Compact prime lens for Canon mirrorless cameras,4.8,30,N/A,Black,1 year
1082,Car Charger,Electronics,20,Anker,Fast charging car adapter,4.4,200,N/A,Black,1 year
1055,Car Vacuum,Home & Kitchen,50,Black+Decker,Portable vacuum for car cleaning,4.3,70,N/A,Black,1 year
1049,Chanel No. 5,Beauty,120,Chanel,Classic women's perfume,4.9,40,N/A,Clear,N/A
1093,Charger Cable,Electronics,10,Anker,Durable charging cable for smartphones,4.6,200,N/A,White,1 year
1077,Coffee Grinder,Home & Kitchen,35,Baratza,Precise grinder for coffee beans,4.5,100,N/A,Silver,1 year
1099,Coffee Machine,Home & Kitchen,100,Keurig,Single-serve coffee machine,4.4,150,N/A,Black,1 year
1129,Columbia Omni-Heat Jacket,Fashion,199.99,Columbia,Winter jacket with thermal insulation,4.5,50,M,Red,1 year
1065,Compact Vacuum,Home & Kitchen,80,Shark,Compact and powerful vacuum cleaner,4.4,70,N/A,Black,1 year
1165,Corsair K95 RGB Platinum,Accessories,199.99,Corsair,Mechanical gaming keyboard with RGB lighting,4.7,50,N/A,Black,1 year
1036,Curved Monitor,Electronics,299,Samsung,32-inch curved display for gaming and work,4.6,30,N/A,Black,2 years
1172,Dell Inspiron 15,Laptops,799.99,Dell,Affordable laptop with Intel i5 processor,4.6,80,N/A,Black,1 year
1015,Dell XPS 13,Electronics,1499.99,Dell,Premium laptop for productivity and entertainment,4.7,40,N/A,Silver,2 years
1092,Desk Chair,Home & Kitchen,120,Herman Miller,Ergonomic office chair for comfort,4.9,30,N/A,Black,10 years
1060,Desk Organizer,Home & Kitchen,15,AmazonBasics,Wooden desk organizer for office supplies,4.3,200,N/A,Brown,1 year
1066,Digital Camera,Electronics,200,Panasonic,Compact digital camera,4.3,90,N/A,Silver,1 year
1004,Dining Table Set,Home & Kitchen,350,IKEA,6-piece dining set,4.3,10,N/A,Brown,1 year
1131,Dyson Airwrap Styler,Beauty,549.99,Dyson,Hair styling tool with multiple attachments,4.7,40,N/A,Black/Purple,2 years
1195,Dyson Pure Cool Tower,Home Appliances,399.99,Dyson,Air purifier and fan with HEPA filter,4.7,50,N/A,White,2 years
1122,Dyson V11 Torque Drive,Home Appliances,699.99,Dyson,Cordless vacuum with powerful suction,4.7,30,N/A,Blue,2 years
1089,Electric Fan,Home & Kitchen,40,Lasko,Portable electric fan for cooling,4.4,80,N/A,White,1 year
1080,Electric Grill,Home & Kitchen,70,George Foreman,Compact electric grill for indoor use,4.3,90,N/A,Black,1 year
1067,Electric Kettle,Home & Kitchen,30,Philips,Fast boiling electric kettle,4.6,150,N/A,Silver,1 year
1100,Electric Scooter,Electronics,350,Xiaomi,Portable electric scooter for commuting,4.8,30,N/A,Black,1 year
1095,Electric Skillet,Home & Kitchen,60,Cuisinart,Electric skillet for cooking meals,4.4,80,N/A,Black,1 year
1061,Electric Toothbrush,Beauty,60,Oral-B,Rechargeable electric toothbrush with multiple modes,4.7,80,N/A,White,2 years
1184,Ember Temperature Control Mug,Home & Kitchen,129.95,Ember,Smart mug with temperature control,4.6,50,N/A,Black,1 year
1042,Fitbit Charge 4,Fashion,120,Fitbit,Activity tracker with heart rate monitor,4.6,50,N/A,Black,1 year
1104,Fitbit Charge 5,Health & Fitness,149.95,Fitbit,Advanced fitness tracker with built-in GPS,4.5,100,N/A,Black,1 year
1138,Fitbit Inspire 2,Health & Fitness,99.95,Fitbit,Simple fitness tracker with heart rate monitoring,4.6,200,N/A,Black,1 year
1177,Fitbit Sense,Health & Fitness,299.95,Fitbit,Smartwatch with advanced health tracking,4.6,150,N/A,Carbon,1 year
1098,Fitness Tracker,Fashion,50,Garmin,Waterproof fitness tracker with step counting,4.6,100,N/A,Black,1 year
1057,Gaming Mouse,Electronics,50,Razer,Ergonomic gaming mouse with customizable buttons,4.6,100,N/A,Black,1 year
1188,Garmin Forerunner 245,Health & Fitness,299.99,Garmin,GPS running watch with advanced metrics,4.7,50,N/A,Black,1 year
1116,Garmin Forerunner 945,Health & Fitness,599.99,Garmin,Multisport GPS watch with heart rate monitoring,4.8,50,N/A,Black,2 years
1144,Garmin Venu 2,Health & Fitness,399.99,Garmin,Smartwatch with GPS and fitness tracking,4.8,100,N/A,Black,2 years
1011,Google Pixel 6,Electronics,599,Google,Smartphone with top-tier camera,4.6,40,N/A,White,1 year
1125,Google Pixel 6,Mobile Phones,599.99,Google,Flagship smartphone with Google Tensor chip,4.5,150,N/A,Stormy Black,1 year
1190,GoPro Hero 8 Black,Electronics,349.99,GoPro,Action camera with 4K video recording,4.6,100,N/A,Black,1 year
1046,GoPro Hero 9,Electronics,350,GoPro,Action camera with 5K video,4.7,25,N/A,Black,2 years
1114,GoPro HERO10,Electronics,499.99,GoPro,Action camera with 5.3K video recording,4.7,75,N/A,Black,1 year
1153,GoPro HERO9,Electronics,399.99,GoPro,Action camera with 5K video capabilities,4.7,75,N/A,Black,1 year
1079,Gym Bag,Fashion,40,Under Armour,Durable and spacious gym bag,4.6,80,N/A,Black,N/A
1130,Harman Kardon Onyx Studio 6,Audio,449.99,Harman Kardon,Portable Bluetooth speaker,4.6,30,N/A,Black,1 year
1017,Himalaya Face Wash,Beauty,6.99,Himalaya,Refreshing face wash for all skin types,4.4,120,150 ml,Clear,N/A
1126,"Hisense 55"" TV",Electronics,429.99,Hisense,Smart LED TV with 4K UHD,4.4,75,N/A,Black,1 year
1173,HP Elite Dragonfly,Laptops,2099.99,HP,Business laptop with Intel i7 and 4K display,4.7,25,N/A,Blue,2 years
1166,HP Omen 15,Gaming,1599.99,HP,Gaming laptop with NVIDIA RTX 3070,4.6,25,N/A,Black,1 year
1142,HP Pavilion 24 All-in-One,Laptops,899.99,HP,24-inch touchscreen all-in-one PC,4.4,30,N/A,Silver,1 year
1018,HP Pavilion Laptop,Electronics,799,HP,Affordable laptop with great performance,4.2,35,N/A,Black,1 year
1041,HP Printer,Electronics,150,HP,Wireless printer with scanning features,4.2,60,N/A,Black,1 year
1103,HP Spectre x360,Laptops,1399.99,HP,Convertible laptop with Intel i7,4.7,30,N/A,Silver,2 years
1047,Hydro Flask Water Bottle,Fashion,45,Hydro Flask,Insulated water bottle,4.6,150,32 oz,White,N/A
1039,Instant Pot,Home & Kitchen,120,Instant Pot,Multi-functional pressure cooker,4.7,40,N/A,Silver,1 year
1133,Instant Pot Duo,Home & Kitchen,89.99,Instant Pot,7-in-1 electric pressure cooker,4.8,200,N/A,Black,1 year
1001,iPhone 14,Electronics,799.99,Apple,Latest iPhone model,4.5,25,N/A,Black,1 year
1044,Jack Daniel's Whiskey,Food & Beverage,40,Jack Daniel's,Premium whiskey,4.8,100,N/A,Amber,N/A
1081,Juicer,Home & Kitchen,50,Omega,Slow juicer for extracting nutrient-rich juice,4.6,100,N/A,Silver,1 year
1030,Kitchen Knife Set,Home & Kitchen,50,Victorinox,Sharp and durable kitchen knives,4.3,80,N/A,Silver,1 year
1024,Kitchen Mixer,Home & Kitchen,120,Kitchenaid,Powerful mixer for baking and cooking,4.4,60,N/A,Red,2 years
1073,Kitchen Scale,Home & Kitchen,20,Ozeri,Digital kitchen scale for precise measurements,4.6,100,N/A,Black,1 year
1037,Kitchen Towel Set,Home & Kitchen,20,AmazonBasics,Set of absorbent kitchen towels,4.4,120,N/A,White,1 year
1048,Kitchen Utensil Set,Home & Kitchen,60,OXO,Complete kitchen utensil set,4.5,80,N/A,Silver,1 year
1111,KitchenAid Stand Mixer,Home & Kitchen,399.99,KitchenAid,Heavy-duty stand mixer for baking,4.7,40,N/A,Red,2 years
1074,Laptop Backpack,Fashion,50,SwissGear,Spacious backpack for laptops and accessories,4.5,70,N/A,Gray,N/A
1045,Laptop Stand,Home & Kitchen,30,AmazonBasics,Adjustable laptop stand for ergonomic use,4.5,70,N/A,Black,1 year
1083,Laundry Basket,Home & Kitchen,15,AmazonBasics,Foldable laundry basket for storage,4.5,150,N/A,Gray,1 year
1019,Leather Jacket,Fashion,200,Zara,Stylish leather jacket,4.7,15,L,Black,N/A
1016,LED Desk Lamp,Home & Kitchen,30,Philips,Adjustable LED desk lamp with touch control,4.6,80,N/A,White,1 year
1069,LED Strip Lights,Home & Kitchen,25,Philips,Customizable LED light strips for home decoration,4.4,200,N/A,Multicolor,1 year
1163,Lenovo Legion 5,Electronics,1249.99,Lenovo,Gaming laptop with AMD Ryzen 7,4.7,20,N/A,Black,1 year
1120,Lenovo ThinkPad X1 Carbon,Laptops,1799.99,Lenovo,Ultra-lightweight business laptop,4.7,40,N/A,Black,2 years
1178,"LG C1 55"" OLED TV",Electronics,1399.99,LG,55-inch OLED Smart TV with 4K UHD,4.8,50,N/A,Black,1 year
1194,Logitech G Pro Wireless,Accessories,129.99,Logitech,Wireless gaming mouse with HERO sensor,4.8,100,N/A,Black,1 year
1151,Logitech G Pro X,Accessories,129.99,Logitech,Wireless gaming headset,4.7,80,N/A,Black,1 year
1117,Logitech MX Master 3,Accessories,99.99,Logitech,Wireless mouse with customizable buttons,4.7,100,N/A,Graphite,1 year
1022,L'Oreal Hair Serum,Beauty,12,L'Oreal,Nourishing hair serum,4.5,100,100 ml,Clear,N/A
1056,L'Oreal Shampoo,Beauty,10,L'Oreal,Moisturizing shampoo for dry hair,4.5,120,400 ml,Clear,N/A
1026,Lululemon Yoga Pants,Fashion,90,Lululemon,Comfortable and stylish yoga pants,4.7,70,S,Black,N/A
1023,Macbook Air,Electronics,999,Apple,Thin and light laptop for everyday use,4.6,50,N/A,Gold,1 year
1006,MacBook Pro,Electronics,2499,Apple,High-performance laptop for professionals,4.8,30,N/A,Silver,2 years
1101,"MacBook Pro 16""",Electronics,2399.99,Apple,16-inch MacBook Pro with M1 Max chip,4.8,10,N/A,Silver,2 years
1072,Mattress,Home & Kitchen,300,Serta,Comfortable mattress for a restful night,4.5,40,N/A,White,10 years
1028,Maybelline Lipstick,Beauty,8.99,Maybelline,Long-lasting lipstick in various shades,4.6,200,N/A,Red,N/A
1141,Microsoft Surface Laptop 4,Laptops,1399.99,Microsoft,Thin and light laptop with Intel i7 processor,4.6,35,N/A,Platinum,1 year
1187,Microsoft Xbox Series S,Electronics,299.99,Microsoft,Compact gaming console with next-gen capabilities,4.7,120,N/A,White,1 year
Product ID,Name,Category,Price,Brand,Description,Rating,Stock Quantity,Size,Color,Warranty
1007,Nike Air Max,Fashion,150,Nike,Stylish running shoes,4.6,45,10 US,White,N/A
1108,Nike Air Max 270,Fashion,150,Nike,Comfortable and stylish running shoes,4.7,120,10 US,White,1 year
1164,Nike Air Zoom Pegasus 38,Fashion,120,Nike,Comfortable running shoes,4.5,150,10 US,White,1 year
1002,Nike Running Shoes,Fashion,120,Nike,Comfortable running shoes,4.7,50,10 US,Blue,N/A
1198,Nike Training Shoes,Fashion,90,Nike,Durable shoes for training,4.6,200,10 US,Black,1 year
1186,Nike ZoomX Vaporfly,Fashion,250,Nike,High-performance running shoes,4.8,80,10 US,White,1 year
1196,Nikon D850,Electronics,2999.99,Nikon,High-resolution DSLR camera with 4K video,4.9,20,N/A,Black,1 year
1128,Nintendo Switch,Electronics,299.99,Nintendo,Portable gaming console,4.8,100,N/A,Neon,1 year
1174,Nintendo Switch OLED,Electronics,349.99,Nintendo,OLED display version of Nintendo Switch,4.9,100,N/A,White,1 year
1063,Noise Cancelling Headphones,Electronics,200,Sennheiser,Over-ear noise cancelling headphones,4.8,30,N/A,Black,1 year
1185,OnePlus 9 Pro,Mobile Phones,1069.99,OnePlus,Flagship smartphone with Snapdragon 888,4.6,150,N/A,Morning Mist,1 year
1088,Outdoor Speaker,Electronics,60,JBL,Portable Bluetooth speaker with waterproof design,4.7,150,N/A,Black,1 year
1027,Philips Coffee Maker,Home & Kitchen,60,Philips,Automatic coffee maker,4.5,100,N/A,Black,1 year
1191,Philips Hue White and Color Starter Kit,Home & Kitchen,199.99,Philips,Smart lighting system with color options,4.8,150,N/A,White,1 year
1152,Philips Sonicare Electric Toothbrush,Health & Fitness,129.99,Philips,Electric toothbrush with Sonic technology,4.8,100,N/A,White,1 year
1199,Philips Sonicare ProtectiveClean 6100,Health & Fitness,129.99,Philips,Smart electric toothbrush with pressure sensor,4.7,100,N/A,White,1 year
1090,Portable Grill,Home & Kitchen,100,Coleman,Compact portable grill for outdoor use,4.5,50,N/A,Black,2 years
1084,Power Bank,Electronics,30,Anker,Portable power bank for charging on the go,4.6,200,N/A,Black,1 year
1054,Protein Powder,Beauty,40,Optimum Nutrition,High-quality whey protein,4.8,200,1 kg,Chocolate,N/A
1096,Recliner Chair,Home & Kitchen,250,La-Z-Boy,Comfortable reclining chair for relaxation,4.7,50,N/A,Gray,2 years
1146,Reebok CrossFit Nano 9,Fashion,130,Reebok,Durable CrossFit shoes,4.6,80,10 US,Black,1 year
1157,Reebok Nano 9,Health & Fitness,130,Reebok,All-purpose workout shoes,4.5,50,10 US,Blue,1 year
1038,Reebok Sports Bra,Fashion,35,Reebok,Comfortable and breathable sports bra,4.5,80,S,Black,N/A
1071,Robot Vacuum,Home & Kitchen,250,Ecovacs,Automatic vacuum cleaner for home use,4.6,60,N/A,Black,2 years
1008,Samsung 65-inch TV,Electronics,799,Samsung,Large 65-inch UHD Smart TV,4.4,20,N/A,Black,2 years
1176,Samsung 970 EVO Plus 1TB,Accessories,149.99,Samsung,High-performance NVMe SSD,4.8,100,N/A,Black,1 year
1043,Samsung Galaxy Buds,Electronics,130,Samsung,Wireless earbuds with excellent sound,4.7,40,N/A,White,1 year
1115,Samsung Galaxy Buds Pro,Electronics,199.99,Samsung,Premium noise-canceling earbuds,4.6,150,N/A,Silver,1 year
1107,Samsung Galaxy S21,Mobile Phones,799.99,Samsung,Flagship smartphone with 5G support,4.6,200,N/A,Phantom Gray,1 year
1168,Samsung Galaxy Tab S7,Electronics,649.99,Samsung,12.4-inch tablet with Snapdragon 865+,4.7,150,N/A,Phantom Black,1 year
1149,Samsung Galaxy Watch 4,Electronics,249.99,Samsung,Smartwatch with health monitoring features,4.7,150,N/A,Black,1 year
1003,Samsung TV,Electronics,550,Samsung,55-inch 4K UHD TV,4.2,15,N/A,Black,2 years
1140,Seagate 2TB External Hard Drive,Accessories,89.99,Seagate,Portable external hard drive,4.7,200,N/A,Black,1 year
1167,Seiko 5 Sports Automatic Watch,Accessories,129.99,Seiko,Automatic stainless steel sports watch,4.7,100,N/A,Black,1 year
1132,Seiko Automatic Watch,Accessories,299.99,Seiko,Men's stainless steel automatic watch,4.6,50,N/A,Silver,1 year
1010,Shampoo,Beauty,8.99,Head & Shoulders,Anti-dandruff shampoo,4.5,200,500 ml,Clear,N/A
1105,Shark Navigator Vacuum,Home Appliances,129.99,Shark,Lightweight vacuum with anti-allergen seal,4.4,50,N/A,Gray,2 years
1154,Shark Rocket Corded Vacuum,Home Appliances,169.99,Shark,Compact corded vacuum with powerful suction,4.6,100,N/A,Red,1 year
1053,Shower Curtain,Home & Kitchen,20,AmazonBasics,Waterproof shower curtain,4.2,100,N/A,White,1 year
1121,Shure SM7B Microphone,Audio,399,Shure,Dynamic cardioid microphone for recording,4.9,50,N/A,Black,1 year
1085,Smart Bulb,Home & Kitchen,18,Philips,LED smart bulb for home automation,4.7,150,N/A,White,1 year
1062,Smart Light Bulb,Home & Kitchen,15,Philips,Wi-Fi enabled LED bulb for smart homes,4.5,150,N/A,White,1 year
1097,Smart Lock,Home & Kitchen,200,August,Smart door lock with remote access,4.5,60,N/A,Silver,1 year
1068,Smart Thermostat,Home & Kitchen,130,Nest,Smart thermostat for energy efficiency,4.7,50,N/A,White,2 years
1076,Smartphone Stand,Fashion,10,AmazonBasics,Adjustable stand for phones and tablets,4.3,150,N/A,Black,1 year
1031,Smartwatch,Fashion,200,Garmin,Water-resistant smartwatch with fitness tracking,4.5,50,N/A,Black,1 year
1192,Sony Alpha a6500,Electronics,1199.99,Sony,Mirrorless camera with 4K video and 24MP,4.7,75,N/A,Black,1 year
1159,Sony Alpha a7 III,Electronics,1999.99,Sony,Mirrorless camera with full-frame sensor,4.9,40,N/A,Black,1 year
1112,"Sony Bravia 65"" TV",Electronics,999.99,Sony,65-inch 4K UHD Smart TV,4.6,25,N/A,Black,1 year
1025,Sony Noise Cancelling Headphones,Electronics,350,Sony,High-quality noise-cancelling headphones,4.9,30,N/A,Black,1 year
1102,Sony Noise Cancelling Headphones,Electronics,349.99,Sony,Noise-canceling wireless headphones,4.6,25,N/A,Black,1 year
1032,Sony PlayStation 5,Electronics,499,Sony,Next-gen gaming console,4.9,100,N/A,White,2 years
1137,Spalding Basketball,Sports,29.99,Spalding,Official NBA basketball,4.8,300,N/A,Orange,1 year
1086,Sports Watch,Fashion,120,Garmin,Waterproof sports watch with fitness tracking,4.8,50,N/A,Black,1 year
1050,Swimwear,Fashion,40,Speedo,Durable and stylish swimwear,4.4,100,M,Blue,N/A
1135,"TCL 50"" TV",Electronics,379.99,TCL,Smart 4K UHD TV,4.5,75,N/A,Black,1 year
1070,Tea Set,Home & Kitchen,50,AmazonBasics,Porcelain tea set for 4 people,4.5,80,N/A,White,1 year
1059,Tesla Model 3,Electronics,39999,Tesla,Electric car with autopilot features,4.9,10,N/A,White,5 years
1052,The North Face Jacket,Fashion,150,The North Face,Durable winter jacket,4.7,60,M,Red,N/A
1158,Timex Ironman,Accessories,49.99,Timex,Durable sports watch with lap timer,4.6,150,N/A,Black,1 year
1034,Tommy Hilfiger Shirt,Fashion,80,Tommy Hilfiger,Classic casual shirt,4.7,150,M,Blue,N/A
1143,TomTom GO 620,Electronics,179.99,TomTom,GPS navigator with lifetime maps,4.5,40,N/A,Black,1 year
1087,Travel Pillow,Home & Kitchen,25,TravelRest,Comfortable travel pillow for neck support,4.5,100,N/A,Gray,1 year
1139,Under Armour Tech T-Shirt,Fashion,25,Under Armour,Moisture-wicking athletic t-shirt,4.5,150,L,Gray,1 year
1078,Vitamin C Serum,Beauty,25,The Ordinary,Anti-aging serum with Vitamin C,4.7,100,30 ml,Clear,N/A
1094,Wall Art,Home & Kitchen,50,AmazonBasics,Decorative wall art for home decor,4.3,100,N/A,Multicolor,1 year
1064,Waterproof Jacket,Fashion,90,Columbia,Lightweight waterproof jacket,4.6,50,L,Blue,N/A
1091,Weighted Blanket,Home & Kitchen,70,YnM,Heavy blanket for better sleep,4.8,100,N/A,Gray,1 year
1110,"Whirlpool 24"" Dishwasher",Home Appliances,599.99,Whirlpool,Energy-efficient dishwasher,4.3,35,N/A,Stainless Steel,1 year
1013,Whirlpool Refrigerator,Home & Kitchen,999,Whirlpool,Energy-efficient double-door refrigerator,4.7,25,N/A,White,2 years
1170,Whirlpool Washer,Home Appliances,499.99,Whirlpool,Front-load washing machine,4.5,60,N/A,White,1 year
1200,Xbox One X,Electronics,499.99,Microsoft,High-performance gaming console,4.8,50,N/A,Black,1 year
1156,Xbox Series X,Electronics,499.99,Microsoft,Next-gen gaming console,4.8,100,N/A,Black,1 year
